scenarioNum,condition,panel1,panel2,panel3,panel4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,auth,bias,identitySP,identityAD,proposition,targetWord,focusParticle,QUD,authorityCondition,prevBeliefSP,prevBeliefAD,scenarioNumOLD
12,a,target-12-mammal-a-AD-pos-1,target-12-mammal-a-AD-pos-2,target-12-mammal-a-AD-pos-3,target-12-mammal-a-AD-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,pos,child,dad,even a mammal can lay eggs,mammal,even,what kinds of animals can lay eggs?,AD > SP,p,positive,13
12,b,target-12-mammal-b-AD-neg-1,target-12-mammal-b-AD-neg-2,target-12-mammal-b-AD-neg-3,target-12-mammal-b-AD-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,neg,child,dad,even a mammal can lay eggs,mammal,even,what kinds of animals can lay eggs?,AD > SP,¬p,positive,13
12,c,target-12-mammal-c-SP-pos-1,target-12-mammal-c-SP-pos-2,target-12-mammal-c-SP-pos-3,target-12-mammal-c-SP-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,pos,dad,child,even a mammal can lay eggs,mammal,even,what kinds of animals can lay eggs?,SP > AD,p,neutral/positive,13
12,d,target-12-mammal-d-SP-neg-1,target-12-mammal-d-SP-neg-2,target-12-mammal-d-SP-neg-3,target-12-mammal-d-SP-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,neg,dad,child,even a mammal can lay eggs,mammal,even,what kinds of animals can lay eggs?,SP > AD,¬p,neutral/positive,13
13,a,target-13-lemonade-a-AD-pos-1,target-13-lemonade-a-AD-pos-2,target-13-lemonade-a-AD-pos-3,target-13-lemonade-a-AD-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,pos,person with menu,server,even the lemonade doesn’t have any,lemonade,even,what drinks are sugar free?,AD > SP,p,positive,14
13,b,target-13-lemonade-b-AD-neg-1,target-13-lemonade-b-AD-neg-2,target-13-lemonade-b-AD-neg-3,target-13-lemonade-b-AD-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,neg,person with menu,server,even the lemonade doesn’t have any,lemonade,even,what drinks are sugar free?,AD > SP,¬p,positive,14
13,c,target-13-lemonade-c-SP-pos-1,target-13-lemonade-c-SP-pos-2,target-13-lemonade-c-SP-pos-3,target-13-lemonade-c-SP-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,pos,server,person with menu,even the lemonade doesn’t have any,lemonade,even,what drinks are sugar free?,SP > AD,p,neutral,14
13,d,target-13-lemonade-d-SP-neg-1,target-13-lemonade-d-SP-neg-2,target-13-lemonade-d-SP-neg-3,target-13-lemonade-d-SP-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,SP,neg,server,person with menu,even the lemonade doesn’t have any,lemonade,even,what drinks are sugar free?,SP > AD,¬p,neutral,14
14,a,target-14-uranium-a-AD-pos-1,target-14-uranium-a-AD-pos-2,target-14-uranium-a-AD-pos-3,target-14-uranium-a-AD-pos-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,pos,circle head,rectangle head,there’s only Uranium in it,uranium,only,Is this sample pure uranium? / What’s in this sample?,AD > SP,p,positive,15
14,b,target-14-uranium-b-AD-neg-1,target-14-uranium-b-AD-neg-2,target-14-uranium-b-AD-neg-3,target-14-uranium-b-AD-neg-4,InfoQ,InfoOptA,InfoOptB,InfoAnswer,BiasQ,BiasOptA,BiasOptB,BiasAnswer,AuthQ,AuthOptA,AuthOptB,AuthAnswer,AD,neg,circle head,rectangle head,there’s only Uranium in it,uranium,only,Is this sample pure uranium? / What’s in this sample?,AD > SP,¬p,positive,15
